E_id,imgName,era,style,gender,R_id,r_gender,age,mar,job,income,r_style1,r_style2,r_style3,r_style4,r_style5,Q1,Q2,Q3,Q411,Q412,Q413,Q414,Q4201,Q4202,Q4203,Q4204,Q4205,Q4206,Q4207,Q4208,Q4209,Q4210,Q4211,Q4212,Q4213,Q4214,Q4215,Q4216,Q5
221243,T_00191_50_ivy_M.jpg,1950,ivy,M,67483,1,1,1,5,6,2,1,1,1,2,4,1,1,1,2,2,2,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2
214449,T_00410_50_ivy_M.jpg,1950,ivy,M,67114,1,2,2,4,2,2,2,2,2,1,2,1,1,2,1,1,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,15,0,1
73264,T_00400_50_ivy_M.jpg,1950,ivy,M,53069,1,4,2,3,2,2,1,2,2,1,3,1,1,3,1,2,1,1,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2
228279,T_00410_50_ivy_M.jpg,1950,ivy,M,67706,1,1,1,5,5,2,2,2,2,2,1,3,1,1,1,2,2,0,0,0,0,5,0,0,8,0,10,0,0,0,0,15,0,1
228267,T_00400_50_ivy_M.jpg,1950,ivy,M,67706,1,1,1,5,5,2,2,2,2,2,1,1,1,1,2,1,1,0,2,0,0,5,0,0,8,0,0,0,0,0,0,15,0,1
196523,T_00410_50_ivy_M.jpg,1950,ivy,M,66451,1,2,2,4,4,2,1,2,1,2,1,3,1,2,1,1,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
37503,T_00400_50_ivy_M.jpg,1950,ivy,M,23950,1,3,2,4,3,2,1,1,2,2,2,1,1,2,1,2,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,15,0,1
200492,T_00400_50_ivy_M.jpg,1950,ivy,M,66591,1,1,1,5,1,2,2,2,1,2,3,1,3,2,1,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,15,0,2
223936,T_00400_50_ivy_M.jpg,1950,ivy,M,67559,1,3,2,4,4,2,1,1,2,2,2,1,3,2,1,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,1
72482,T_00400_50_ivy_M.jpg,1950,ivy,M,52635,1,4,2,2,2,2,1,1,2,2,3,1,1,2,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,15,0,2
214890,T_00410_50_ivy_M.jpg,1950,ivy,M,67139,1,2,2,2,3,2,1,2,2,2,3,3,1,1,1,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2
37519,T_00410_50_ivy_M.jpg,1950,ivy,M,23950,1,3,2,4,3,2,1,1,2,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,1
40755,T_00545_50_ivy_M.jpg,1950,ivy,M,25630,1,2,1,6,1,2,1,1,2,2,3,2,5,2,2,1,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2
53096,T_00486_50_ivy_M.jpg,1950,ivy,M,29876,1,1,1,4,2,1,1,2,2,1,4,1,2,2,2,2,1,1,2,3,4,5,0,0,0,0,0,0,0,0,0,15,16,2
7505,T_00486_50_ivy_M.jpg,1950,ivy,M,3248,1,2,1,6,2,1,2,2,1,1,3,1,5,2,1,2,2,0,0,3,0,5,0,0,8,9,10,11,12,0,0,0,0,1
16872,T_00486_50_ivy_M.jpg,1950,ivy,M,13142,1,1,1,5,1,2,2,2,2,2,2,1,5,2,1,2,1,0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,16,1
56524,T_00486_50_ivy_M.jpg,1950,ivy,M,31408,1,1,1,6,2,1,1,2,2,1,2,1,2,2,2,2,2,1,0,0,4,5,0,0,8,0,0,0,0,0,0,0,0,2
32390,T_00486_50_ivy_M.jpg,1950,ivy,M,22416,1,4,2,6,2,1,1,2,2,1,2,1,5,1,1,2,1,0,0,0,0,0,0,0,8,0,10,11,12,0,0,0,0,1
224531,T_01208_50_ivy_M.jpg,1950,ivy,M,67582,1,3,1,2,3,1,1,2,2,1,3,1,7,2,1,1,1,0,2,0,4,5,0,0,8,0,0,0,12,0,0,0,16,2
214919,T_00545_50_ivy_M.jpg,1950,ivy,M,67139,1,2,2,2,3,2,1,2,2,2,4,2,2,2,2,2,2,0,0,0,0,0,0,0,8,0,10,11,0,0,0,0,0,2
197228,T_00486_50_ivy_M.jpg,1950,ivy,M,66493,1,1,1,5,6,2,1,1,1,2,4,1,5,2,2,2,2,0,0,0,4,5,0,0,8,0,10,0,12,0,0,0,0,2
85147,T_00592_50_ivy_M.jpg,1950,ivy,M,59296,1,3,2,6,3,2,1,2,2,1,3,3,4,2,1,2,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,1
117384,T_00545_50_ivy_M.jpg,1950,ivy,M,63114,1,2,2,4,3,2,1,2,2,2,1,2,5,2,2,2,2,0,0,0,0,0,0,7,0,0,0,0,12,0,0,0,0,1
28952,T_00592_50_ivy_M.jpg,1950,ivy,M,20520,1,3,1,2,2,2,1,2,2,2,2,3,5,1,1,1,1,0,0,0,0,0,0,0,8,0,10,0,12,0,0,15,0,1
189721,T_00545_50_ivy_M.jpg,1950,ivy,M,65980,1,2,1,6,1,2,1,1,2,1,1,2,5,1,2,2,2,0,0,0,0,0,0,7,0,9,0,11,0,0,0,0,0,1
228380,T_01105_50_ivy_M.jpg,1950,ivy,M,67710,1,2,2,2,3,2,1,2,2,1,3,1,5,1,1,1,1,0,0,0,0,5,0,0,8,0,10,0,12,0,0,15,16,2
197962,T_00545_50_ivy_M.jpg,1950,ivy,M,66520,1,1,1,6,1,2,1,2,2,2,3,2,2,2,1,1,2,0,0,0,0,5,0,0,8,0,0,11,12,0,0,0,0,2
197977,T_00592_50_ivy_M.jpg,1950,ivy,M,66520,1,1,1,6,1,2,1,2,2,2,2,3,5,2,1,2,1,0,2,3,0,5,0,0,8,0,10,0,12,0,0,0,16,2
202018,T_00592_50_ivy_M.jpg,1950,ivy,M,66657,1,1,1,5,1,2,1,2,1,2,3,3,2,2,1,2,1,0,0,0,4,0,0,0,0,0,10,0,0,0,0,15,0,2
221440,T_00592_50_ivy_M.jpg,1950,ivy,M,67490,1,1,1,5,2,2,2,2,2,1,3,1,2,2,1,1,1,0,0,0,0,5,0,0,8,0,10,0,12,0,0,15,0,2
228292,T_00592_50_ivy_M.jpg,1950,ivy,M,67706,1,1,1,5,5,2,2,2,2,2,3,3,2,2,1,1,2,0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,16,2
221424,T_00545_50_ivy_M.jpg,1950,ivy,M,67490,1,1,1,5,2,2,2,2,2,1,3,2,5,2,2,2,2,0,0,0,0,5,0,0,0,0,10,11,12,13,0,0,0,2
12938,T_01236_50_ivy_M.jpg,1950,ivy,M,8325,1,3,1,4,2,2,1,1,2,2,3,1,5,2,2,2,2,0,0,3,0,5,0,0,8,0,0,0,12,0,0,15,16,2
75907,T_01105_50_ivy_M.jpg,1950,ivy,M,54649,1,4,2,4,5,2,1,1,1,2,3,1,5,1,2,2,2,0,0,3,0,5,0,0,0,0,10,0,0,0,0,0,0,2
195148,T_01105_50_ivy_M.jpg,1950,ivy,M,66398,1,1,1,5,1,2,1,1,2,2,3,1,5,2,1,2,2,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2
102363,T_01105_50_ivy_M.jpg,1950,ivy,M,61539,1,2,1,6,2,2,1,1,2,1,4,1,5,2,2,2,2,0,2,3,0,5,0,0,8,0,0,11,0,0,0,0,0,2
200350,T_01208_50_ivy_M.jpg,1950,ivy,M,66586,1,1,1,5,1,2,2,2,2,2,2,2,2,2,2,1,2,0,2,0,0,5,0,0,0,0,0,11,12,0,0,0,0,1
44507,T_01208_50_ivy_M.jpg,1950,ivy,M,27866,1,1,1,5,1,2,1,1,2,2,3,2,5,2,1,1,2,0,0,0,0,5,0,0,0,0,0,11,12,0,0,0,0,2
40533,T_01208_50_ivy_M.jpg,1950,ivy,M,25540,1,3,1,4,3,2,2,1,2,2,2,2,2,2,2,2,1,0,2,0,4,5,0,0,0,0,10,0,0,0,0,0,0,1
206545,T_01105_50_ivy_M.jpg,1950,ivy,M,66811,1,2,2,3,5,2,2,2,2,2,3,1,5,1,1,2,2,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,16,2
117397,T_01208_50_ivy_M.jpg,1950,ivy,M,63114,1,2,2,4,3,2,1,2,2,2,3,2,5,2,1,2,2,0,0,0,0,5,0,0,0,0,10,11,12,0,0,0,0,2
204806,T_01236_50_ivy_M.jpg,1950,ivy,M,66755,1,2,2,4,4,1,1,2,1,1,3,1,5,2,2,2,2,0,2,3,4,0,0,0,8,9,10,0,0,13,0,15,0,2
77116,T_01208_50_ivy_M.jpg,1950,ivy,M,55927,1,4,2,4,3,2,1,2,2,2,3,2,5,2,1,1,1,0,0,3,0,0,0,0,8,0,0,11,12,13,0,0,0,2
214386,T_01236_50_ivy_M.jpg,1950,ivy,M,67107,1,4,2,2,3,2,1,2,2,1,3,1,1,2,2,2,2,0,0,0,0,5,0,0,8,0,0,0,12,0,0,0,16,2
43244,T_01236_50_ivy_M.jpg,1950,ivy,M,27131,1,1,1,5,2,2,1,2,2,2,3,1,5,2,2,2,2,0,0,3,0,5,0,0,8,0,0,0,12,0,0,0,16,2
218100,T_01236_50_ivy_M.jpg,1950,ivy,M,67326,1,3,2,2,6,2,1,1,1,2,2,1,5,2,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
75417,T_01236_50_ivy_M.jpg,1950,ivy,M,54385,1,4,2,2,2,2,2,2,2,1,3,1,5,2,2,2,2,0,0,0,0,0,0,0,8,0,10,11,0,0,0,0,0,2
5301,T_01462_50_ivy_M.jpg,1950,ivy,M,2072,1,4,2,2,4,2,1,2,1,2,1,2,5,2,1,1,2,0,2,3,0,5,0,7,8,0,0,0,0,0,0,0,0,1
219081,T_01474_50_ivy_M.jpg,1950,ivy,M,67397,1,1,1,5,1,2,2,1,2,2,3,2,2,1,2,2,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
201764,T_01462_50_ivy_M.jpg,1950,ivy,M,66646,1,3,2,2,4,2,1,1,2,2,4,1,1,2,1,2,2,0,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,2
235376,T_01462_50_ivy_M.jpg,1950,ivy,M,68309,1,1,1,6,2,2,1,1,1,2,4,2,2,1,1,1,1,0,2,3,4,5,0,0,0,0,0,0,0,0,0,0,16,2
235393,T_01495_50_ivy_M.jpg,1950,ivy,M,68309,1,1,1,6,2,2,1,1,1,2,4,1,5,1,2,2,1,0,2,3,0,5,0,0,8,0,0,0,0,0,0,0,16,2
221210,T_01462_50_ivy_M.jpg,1950,ivy,M,67482,1,1,1,2,1,2,2,2,2,2,2,1,8,2,2,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
67230,T_01474_50_ivy_M.jpg,1950,ivy,M,49098,1,3,2,2,2,1,1,2,2,1,2,1,5,2,1,1,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
192641,T_01462_50_ivy_M.jpg,1950,ivy,M,66225,1,2,2,4,3,2,1,2,1,2,4,1,2,2,1,1,1,0,2,3,0,0,0,0,0,9,10,0,0,0,0,15,0,2
40772,T_01474_50_ivy_M.jpg,1950,ivy,M,25630,1,2,1,6,1,2,1,1,2,2,2,2,1,2,2,2,2,1,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,1
89821,T_01474_50_ivy_M.jpg,1950,ivy,M,59900,1,4,2,4,4,2,2,2,2,2,2,2,3,2,2,2,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
224648,T_01462_50_ivy_M.jpg,1950,ivy,M,67584,1,1,1,6,1,2,2,2,2,1,3,2,2,2,1,1,2,1,2,0,4,0,0,0,0,0,0,0,0,13,0,15,0,2
67244,T_01480_50_ivy_M.jpg,1950,ivy,M,49098,1,3,2,2,2,1,1,2,2,1,3,1,1,2,1,1,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
221218,T_01474_50_ivy_M.jpg,1950,ivy,M,67482,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1
40788,T_01480_50_ivy_M.jpg,1950,ivy,M,25630,1,2,1,6,1,2,1,1,2,2,2,1,1,2,1,2,1,0,2,0,0,5,0,0,0,0,10,0,0,0,0,0,0,1
224863,T_01495_50_ivy_M.jpg,1950,ivy,M,67591,1,4,2,4,4,2,1,2,2,1,2,1,5,2,2,2,2,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,1
201770,T_01480_50_ivy_M.jpg,1950,ivy,M,66646,1,3,2,2,4,2,1,1,2,2,4,1,2,2,1,2,2,0,0,0,4,5,0,0,8,0,0,0,0,0,0,0,0,2
148651,T_01480_50_ivy_M.jpg,1950,ivy,M,64391,1,1,1,5,1,2,1,2,2,2,3,1,1,2,2,2,1,1,2,0,0,5,0,0,8,0,10,0,0,0,0,15,0,2
53048,T_01495_50_ivy_M.jpg,1950,ivy,M,29869,1,2,2,4,3,2,2,2,2,2,2,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,1
229298,T_01480_50_ivy_M.jpg,1950,ivy,M,67755,1,1,1,2,3,2,1,2,1,2,3,1,1,2,1,2,2,0,2,0,0,5,0,0,8,0,10,0,0,0,0,15,16,2
229282,T_01474_50_ivy_M.jpg,1950,ivy,M,67755,1,1,1,2,3,2,1,2,1,2,3,2,2,2,2,2,2,1,0,3,4,0,0,7,8,0,0,0,0,0,0,0,0,2
205693,T_01480_50_ivy_M.jpg,1950,ivy,M,66783,1,2,2,3,3,2,1,2,2,2,1,1,1,2,1,1,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1
232478,T_01495_50_ivy_M.jpg,1950,ivy,M,67885,1,1,1,2,1,2,2,1,2,2,4,1,2,1,2,2,2,0,2,3,0,0,0,0,0,0,0,0,12,0,0,0,16,2
202974,T_01568_50_ivy_M.jpg,1950,ivy,M,66699,1,1,1,5,2,2,2,1,2,2,3,3,2,2,1,2,1,0,0,0,0,0,0,0,8,0,0,0,12,0,0,15,16,2
215489,T_01518_50_ivy_M.jpg,1950,ivy,M,67172,1,4,2,6,1,2,2,2,2,2,3,3,3,1,1,1,1,1,2,3,4,5,0,7,8,0,0,0,0,0,0,0,0,2
228622,T_01518_50_ivy_M.jpg,1950,ivy,M,67730,1,2,2,2,3,2,1,1,2,1,3,3,5,2,2,2,2,1,0,0,4,0,0,0,0,0,0,0,12,0,0,0,0,2
5318,T_01568_50_ivy_M.jpg,1950,ivy,M,2072,1,4,2,2,4,2,1,2,1,2,3,3,4,2,1,1,1,1,2,0,4,5,0,0,0,0,0,11,0,0,0,15,0,2
216117,T_01568_50_ivy_M.jpg,1950,ivy,M,67212,1,4,2,3,3,2,2,2,1,2,2,3,2,1,1,2,1,0,2,0,0,0,0,0,0,9,0,0,12,0,0,15,0,1
207118,T_01518_50_ivy_M.jpg,1950,ivy,M,66825,1,2,1,2,3,2,2,2,2,1,2,1,5,1,2,1,1,0,0,3,0,5,0,0,8,0,0,0,0,0,0,0,0,1
205906,T_01566_50_ivy_M.jpg,1950,ivy,M,66789,1,2,1,4,2,2,2,1,2,2,3,1,2,2,2,2,2,1,0,3,4,0,0,0,0,0,0,11,0,0,0,0,0,2
197795,T_01495_50_ivy_M.jpg,1950,ivy,M,66516,1,1,1,3,2,2,1,2,2,2,3,1,2,2,2,2,2,0,0,3,0,5,0,0,0,0,0,0,12,0,0,0,0,2
228638,T_01568_50_ivy_M.jpg,1950,ivy,M,67730,1,2,2,2,3,2,1,1,2,1,3,3,5,1,1,2,2,0,2,0,0,0,0,0,8,0,0,0,12,0,0,0,0,2
70147,T_01518_50_ivy_M.jpg,1950,ivy,M,51122,1,2,2,6,2,2,2,1,1,2,1,1,1,1,1,1,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,16,1
221465,T_01566_50_ivy_M.jpg,1950,ivy,M,67490,1,1,1,5,2,2,2,2,2,1,3,1,2,2,1,1,2,1,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2
224877,T_01566_50_ivy_M.jpg,1950,ivy,M,67591,1,4,2,4,4,2,1,2,2,1,3,2,5,2,2,2,2,0,0,0,0,0,0,0,0,0,0,11,12,0,0,0,0,2
70163,T_01566_50_ivy_M.jpg,1950,ivy,M,51122,1,2,2,6,2,2,2,1,1,2,3,1,5,2,1,1,2,0,0,0,0,5,0,0,0,0,0,0,12,0,0,0,0,2
228633,T_01566_50_ivy_M.jpg,1950,ivy,M,67730,1,2,2,2,3,2,1,1,2,1,4,1,5,2,1,1,2,0,0,3,4,0,0,0,8,0,0,0,12,0,0,0,0,2
72498,T_01518_50_ivy_M.jpg,1950,ivy,M,52635,1,4,2,2,2,2,1,1,2,2,3,3,1,1,2,2,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2
235143,T_01568_50_ivy_M.jpg,1950,ivy,M,68279,1,3,2,4,3,2,1,1,1,2,4,3,1,2,1,2,2,0,2,0,4,0,0,0,8,0,10,0,0,0,0,15,0,2
215498,T_01568_50_ivy_M.jpg,1950,ivy,M,67172,1,4,2,6,1,2,2,2,2,2,3,3,5,2,1,1,1,1,2,3,4,5,0,0,8,0,0,0,0,0,0,0,0,2
22247,T_02403_50_ivy_M.jpg,1950,ivy,M,18330,1,4,2,6,6,2,1,1,1,2,2,1,1,2,1,2,1,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,0,1
232668,T_01566_50_ivy_M.jpg,1950,ivy,M,67892,1,1,1,2,3,2,2,2,1,2,3,1,2,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
232653,T_01518_50_ivy_M.jpg,1950,ivy,M,67892,1,1,1,2,3,2,2,2,1,2,3,3,1,2,1,1,1,0,2,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2
18250,T_02182_50_ivy_M.jpg,1950,ivy,M,14491,1,3,2,3,3,1,1,2,2,1,3,2,5,2,1,1,2,0,0,3,0,5,0,0,0,0,10,11,12,13,0,15,0,2
113164,T_02403_50_ivy_M.jpg,1950,ivy,M,62744,1,2,1,6,2,2,2,2,2,2,3,1,1,2,1,1,1,0,0,0,0,5,0,0,8,0,10,0,0,0,0,15,0,2
3107,T_02182_50_ivy_M.jpg,1950,ivy,M,1511,1,1,1,6,2,2,1,1,2,2,4,2,2,1,2,2,2,1,0,3,4,5,0,0,0,9,10,11,0,0,0,15,16,2
235734,T_02182_50_ivy_M.jpg,1950,ivy,M,68398,1,1,1,5,1,2,1,1,2,2,3,2,5,2,2,1,2,0,0,0,0,5,0,0,8,0,0,11,12,13,0,0,0,2
228839,T_02182_50_ivy_M.jpg,1950,ivy,M,67737,1,4,2,6,2,2,1,1,1,2,2,2,5,2,1,1,2,0,2,3,0,0,0,0,8,9,10,11,12,13,0,15,0,1
223725,T_02182_50_ivy_M.jpg,1950,ivy,M,67552,1,3,2,6,2,1,2,2,2,1,2,2,5,1,1,1,2,0,0,0,0,0,0,0,8,0,10,11,12,13,0,0,0,1
222035,T_02182_50_ivy_M.jpg,1950,ivy,M,67506,1,3,2,4,3,2,2,2,2,2,3,2,4,2,1,1,2,0,0,0,0,0,0,0,0,0,10,11,12,0,0,0,0,2
77124,T_02403_50_ivy_M.jpg,1950,ivy,M,55927,1,4,2,4,3,2,1,2,2,2,3,1,3,2,1,2,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,15,0,2
111355,T_02403_50_ivy_M.jpg,1950,ivy,M,62548,1,2,1,5,2,2,1,1,2,2,3,1,1,2,1,1,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
185102,W_00004_50_ivy_M.jpg,1950,ivy,M,65667,1,2,1,2,3,2,2,2,2,2,3,1,1,2,1,1,2,0,0,0,0,5,0,0,8,0,0,0,12,0,0,15,0,2
134675,W_00004_50_ivy_M.jpg,1950,ivy,M,63739,1,3,2,4,5,2,1,2,1,2,4,1,1,2,2,2,2,0,2,3,0,5,0,0,0,0,10,0,0,0,0,0,0,2
60212,W_00004_50_ivy_M.jpg,1950,ivy,M,35443,1,3,2,4,2,2,1,2,2,2,2,1,3,2,2,1,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,1
44869,W_00071_50_ivy_M.jpg,1950,ivy,M,28046,1,2,1,6,1,2,2,1,2,2,2,1,5,2,1,2,2,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,1
179491,W_00004_50_ivy_M.jpg,1950,ivy,M,65406,1,2,1,2,4,2,2,1,2,2,3,1,3,2,2,2,2,1,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2
70971,T_02403_50_ivy_M.jpg,1950,ivy,M,51526,1,1,1,5,1,2,2,1,2,2,2,1,1,2,1,1,1,0,0,0,4,5,0,0,0,0,0,0,0,0,0,15,0,1
133127,W_00028_50_ivy_M.jpg,1950,ivy,M,63699,1,2,1,6,2,2,1,1,2,2,4,1,4,2,2,1,1,0,0,0,0,5,0,0,8,0,0,0,0,0,0,15,0,2
67526,W_00004_50_ivy_M.jpg,1950,ivy,M,49214,1,2,2,2,3,2,1,2,2,1,3,1,1,2,2,2,1,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,16,2
228793,T_02403_50_ivy_M.jpg,1950,ivy,M,67736,1,3,2,2,4,2,1,1,2,2,2,3,1,2,1,2,2,1,2,3,4,5,0,0,8,0,0,0,0,0,0,15,0,1
115094,W_00027_50_ivy_M.jpg,1950,ivy,M,62920,1,1,1,5,2,1,1,2,2,2,1,2,1,3,1,1,2,0,2,0,0,5,0,0,0,0,10,11,12,0,0,0,0,1
40172,W_00028_50_ivy_M.jpg,1950,ivy,M,25446,1,3,2,3,6,2,1,2,2,2,3,1,1,2,2,1,2,0,2,0,0,5,0,0,8,0,0,0,0,0,0,0,0,2
107116,W_00027_50_ivy_M.jpg,1950,ivy,M,62155,1,1,1,5,1,2,1,1,1,2,4,2,5,2,2,2,2,0,2,0,4,5,0,0,0,0,10,11,12,0,0,15,0,2
63722,W_00031_50_ivy_M.jpg,1950,ivy,M,42599,1,1,1,6,6,2,1,1,1,2,3,3,2,2,1,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2
92597,W_00004_50_ivy_M.jpg,1950,ivy,M,60184,1,2,1,2,1,2,2,2,2,1,4,1,1,2,1,2,2,1,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2
37209,W_00028_50_ivy_M.jpg,1950,ivy,M,23831,1,4,2,2,2,2,1,2,2,2,4,1,5,3,2,1,2,0,2,0,0,5,0,0,8,0,0,0,0,0,0,15,0,2
449,W_00036_50_ivy_M.jpg,1950,ivy,M,133,1,2,1,6,1,2,1,2,2,2,3,1,2,2,2,1,1,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,2
113931,W_00028_50_ivy_M.jpg,1950,ivy,M,62820,1,2,1,6,6,2,1,2,2,1,2,1,3,3,2,2,1,0,0,0,0,5,0,0,0,0,0,0,12,0,0,15,0,1
18971,W_00027_50_ivy_M.jpg,1950,ivy,M,15251,1,1,1,5,1,2,2,1,2,1,3,1,1,3,2,2,2,0,0,0,0,0,0,0,8,0,0,0,12,0,0,0,16,2
191457,W_00555_50_ivy_M.jpg,1950,ivy,M,66133,1,4,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1
140560,W_00027_50_ivy_M.jpg,1950,ivy,M,64035,1,4,2,3,6,2,1,2,2,2,3,1,5,2,1,2,2,0,0,0,0,0,0,0,8,0,10,11,0,0,0,0,0,2
125567,W_00073_50_ivy_M.jpg,1950,ivy,M,63481,1,2,2,4,3,2,2,2,1,1,3,1,5,2,1,2,1,1,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,2
139230,W_00036_50_ivy_M.jpg,1950,ivy,M,63970,1,3,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2
160849,W_00071_50_ivy_M.jpg,1950,ivy,M,64799,1,1,1,5,1,2,1,2,2,1,3,1,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2
147461,W_00027_50_ivy_M.jpg,1950,ivy,M,64321,1,3,2,3,2,2,1,1,1,2,2,1,5,3,2,2,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,15,0,1
94255,W_00036_50_ivy_M.jpg,1950,ivy,M,60465,1,4,2,6,1,2,1,1,1,2,2,1,1,3,2,1,2,0,2,0,0,0,0,0,8,0,10,0,0,13,0,0,0,1
1867,W_00028_50_ivy_M.jpg,1950,ivy,M,837,1,2,1,4,4,2,2,2,2,1,4,2,1,3,2,2,2,1,2,0,0,5,0,0,0,0,0,0,0,0,0,15,0,2
47106,W_00073_50_ivy_M.jpg,1950,ivy,M,28571,1,2,1,2,2,2,1,2,2,1,3,1,2,3,2,2,2,0,2,3,0,5,0,0,8,9,0,0,12,0,0,15,0,2
